配送先,ID,社員番号,種別,姓,名,FirstName,FamilyName,韓国語姓,韓国語名,肩書き1,肩書き2,肩書き3,肩書き4,肩書き5,肩書き英1,肩書き英2,肩書き英3,肩書き英4,肩書き英5,選択住所,Email,ドメイン,電話1,ファックス1,携帯,フリースペース
,"hide,auto[########]",,hide,,,hide,hide,hide,hide,,hide,hide,hide,hide,hide,hide,hide,hide,hide,hide,hide,hide,hide,hide,hide,hide
select,,,,,,,,,,,,,,,,,,,,永福（アルク）,,,,,,
select,,,,,,,,,,,,,,,,,,,,市ヶ谷（アルク）,,,,,,
select,,,,,,,,,,,,,,,,,,,,市ヶ谷2階（アルク）,,,,,,
select,,,,,,,,,,,,,,,,,,,,市ヶ谷8階（アルク）,,,,,,
select,,,,,,,,,,,,,,,,,,,,大阪（アルク）,,,,,,
select,,,,,,,,,,,,,,,,,,,,大郷ビル5階（アルク）,,,,,,
select,,,,,,,,,,,,,,,,,,,,福岡（アルク）,,,,,,
select,,,,,,,,,,,,,,,,,,,,名古屋（アルク）,,,,,,
,,20151207-2,5,吉中,昌國,Masakuni,Yoshinaka,,,グローバル人材コンサルタント,,,,,Global Professional Development Consultant,,,,,名古屋（アルク）,,,052-1234-5678,052-1234-5678,,
,,test,0,名刺,太郎,Taro,Meishi,,,肩書き1,肩書き2,肩書き3,,,general,manager,,,,市ヶ谷（アルク）,t-meishi@alc.co.jp,,03-1234-5678,03-1234-5678,090-0000-0000,
